Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","2","Afghanistan","5110","Area","6600","Country area","2018","2018","1000 ha","65286","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","2","Afghanistan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","37919","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6600","Country area","2018","2018","1000 ha","2875","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1174.081","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","4","Algeria","5110","Area","6600","Country area","2018","2018","1000 ha","238174.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","4","Algeria","5110","Area","6610","Agricultural land","2018","2018","1000 ha","41358.847","Fm","Manual Estimation"
"RL","Land Use","5","American Samoa","5110","Area","6600","Country area","2018","2018","1000 ha","20","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","5","American Samoa","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4.9","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6600","Country area","2018","2018","1000 ha","47","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2018","2018","1000 ha","18.83","Fm","Manual Estimation"
"RL","Land Use","7","Angola","5110","Area","6600","Country area","2018","2018","1000 ha","124670","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","7","Angola","5110","Area","6610","Agricultural land","2018","2018","1000 ha","56952.49","Fc","Calculated data"
"RL","Land Use","258","Anguilla","5110","Area","6600","Country area","2018","2018","1000 ha","9","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","8","Antigua and Barbuda","5110","Area","6600","Country area","2018","2018","1000 ha","44","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","8","Antigua and Barbuda","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2018","2018","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2018","2018","1000 ha","148768","Fm","Manual Estimation"
"RL","Land Use","1","Armenia","5110","Area","6600","Country area","2018","2018","1000 ha","2974","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","1","Armenia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1677.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","22","Aruba","5110","Area","6600","Country area","2018","2018","1000 ha","18","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","22","Aruba","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2","Fm","Manual Estimation"
"RL","Land Use","10","Australia","5110","Area","6600","Country area","2018","2018","1000 ha","774122","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","358895","Fc","Calculated data"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","2018","2018","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2652.83","Fc","Calculated data"
"RL","Land Use","52","Azerbaijan","5110","Area","6600","Country area","2018","2018","1000 ha","8660","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","52","Azerbaijan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4779.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","12","Bahamas","5110","Area","6600","Country area","2018","2018","1000 ha","1388","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","12","Bahamas","5110","Area","6610","Agricultural land","2018","2018","1000 ha","14","Fm","Manual Estimation"
"RL","Land Use","13","Bahrain","5110","Area","6600","Country area","2018","2018","1000 ha","78","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","13","Bahrain","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8.6","Fm","Manual Estimation"
"RL","Land Use","16","Bangladesh","5110","Area","6600","Country area","2018","2018","1000 ha","14757","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","16","Bangladesh","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9202.3","Fm","Manual Estimation"
"RL","Land Use","14","Barbados","5110","Area","6600","Country area","2018","2018","1000 ha","43","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","14","Barbados","5110","Area","6610","Agricultural land","2018","2018","1000 ha","10","Fm","Manual Estimation"
"RL","Land Use","57","Belarus","5110","Area","6600","Country area","2018","2018","1000 ha","20760","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8453","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","255","Belgium","5110","Area","6600","Country area","2018","2018","1000 ha","3053","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","255","Belgium","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1354","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","23","Belize","5110","Area","6600","Country area","2018","2018","1000 ha","2297","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","23","Belize","5110","Area","6610","Agricultural land","2018","2018","1000 ha","172","Fm","Manual Estimation"
"RL","Land Use","53","Benin","5110","Area","6600","Country area","2018","2018","1000 ha","11476","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","53","Benin","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3950","Fm","Manual Estimation"
"RL","Land Use","17","Bermuda","5110","Area","6600","Country area","2018","2018","1000 ha","429","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","17","Bermuda","5110","Area","6610","Agricultural land","2018","2018","1000 ha","0.3","Fm","Manual Estimation"
"RL","Land Use","18","Bhutan","5110","Area","6600","Country area","2018","2018","1000 ha","3839","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","18","Bhutan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","513","Fm","Manual Estimation"
"RL","Land Use","19","Bolivia (Plurinational State of)","5110","Area","6600","Country area","2018","2018","1000 ha","109858","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","19","Bolivia (Plurinational State of)","5110","Area","6610","Agricultural land","2018","2018","1000 ha","37727","Fm","Manual Estimation"
"RL","Land Use","278","Bonaire, Sint Eustatius and Saba","5110","Area","6600","Country area","2018","2018","1000 ha","32.2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","80","Bosnia and Herzegovina","5110","Area","6600","Country area","2018","2018","1000 ha","5121","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","80","Bosnia and Herzegovina","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2211","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","20","Botswana","5110","Area","6600","Country area","2018","2018","1000 ha","58173","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","20","Botswana","5110","Area","6610","Agricultural land","2018","2018","1000 ha","25861.6","Fm","Manual Estimation"
"RL","Land Use","21","Brazil","5110","Area","6600","Country area","2018","2018","1000 ha","851577","Fm","Manual Estimation"
"RL","Land Use","21","Brazil","5110","Area","6610","Agricultural land","2018","2018","1000 ha","236878.801","Fm","Manual Estimation"
"RL","Land Use","239","British Virgin Islands","5110","Area","6600","Country area","2018","2018","1000 ha","15","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","239","British Virgin Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","26","Brunei Darussalam","5110","Area","6600","Country area","2018","2018","1000 ha","577","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","26","Brunei Darussalam","5110","Area","6610","Agricultural land","2018","2018","1000 ha","14.4","Fm","Manual Estimation"
"RL","Land Use","27","Bulgaria","5110","Area","6600","Country area","2018","2018","1000 ha","11100","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","27","Bulgaria","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5030","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","233","Burkina Faso","5110","Area","6600","Country area","2018","2018","1000 ha","27422","Fm","Manual Estimation"
"RL","Land Use","233","Burkina Faso","5110","Area","6610","Agricultural land","2018","2018","1000 ha","12100","Fm","Manual Estimation"
"RL","Land Use","29","Burundi","5110","Area","6600","Country area","2018","2018","1000 ha","2783","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","29","Burundi","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2033","Fm","Manual Estimation"
"RL","Land Use","35","Cabo Verde","5110","Area","6600","Country area","2018","2018","1000 ha","403","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","35","Cabo Verde","5110","Area","6610","Agricultural land","2018","2018","1000 ha","79","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6600","Country area","2018","2018","1000 ha","18104","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","115","Cambodia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5566","Fm","Manual Estimation"
"RL","Land Use","32","Cameroon","5110","Area","6600","Country area","2018","2018","1000 ha","47544","Fm","Manual Estimation"
"RL","Land Use","32","Cameroon","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9750","Fm","Manual Estimation"
"RL","Land Use","33","Canada","5110","Area","6600","Country area","2018","2018","1000 ha","987975","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","33","Canada","5110","Area","6610","Agricultural land","2018","2018","1000 ha","58199","Fm","Manual Estimation"
"RL","Land Use","36","Cayman Islands","5110","Area","6600","Country area","2018","2018","1000 ha","26.4","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","36","Cayman Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2.7","Fm","Manual Estimation"
"RL","Land Use","37","Central African Republic","5110","Area","6600","Country area","2018","2018","1000 ha","62298","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","37","Central African Republic","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5080","Fm","Manual Estimation"
"RL","Land Use","39","Chad","5110","Area","6600","Country area","2018","2018","1000 ha","128400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","39","Chad","5110","Area","6610","Agricultural land","2018","2018","1000 ha","50238","Fm","Manual Estimation"
"RL","Land Use","259","Channel Islands","5110","Area","6600","Country area","2018","2018","1000 ha","19.8","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","259","Channel Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9.22","Fm","Manual Estimation"
"RL","Land Use","40","Chile","5110","Area","6600","Country area","2018","2018","1000 ha","75670","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","40","Chile","5110","Area","6610","Agricultural land","2018","2018","1000 ha","15693","Fm","Manual Estimation"
"RL","Land Use","351","China","5110","Area","6600","Country area","2018","2018","1000 ha","960001.29","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","351","China","5110","Area","6610","Agricultural land","2018","2018","1000 ha","528528.7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","96","China, Hong Kong SAR","5110","Area","6600","Country area","2018","2018","1000 ha","111","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","96","China, Hong Kong SAR","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","128","China, Macao SAR","5110","Area","6600","Country area","2018","2018","1000 ha","3.29","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","41","China, mainland","5110","Area","6600","Country area","2018","2018","1000 ha","956291","Fm","Manual Estimation"
"RL","Land Use","41","China, mainland","5110","Area","6610","Agricultural land","2018","2018","1000 ha","527733","Fm","Manual Estimation"
"RL","Land Use","214","China, Taiwan Province of","5110","Area","6600","Country area","2018","2018","1000 ha","3596","Fm","Manual Estimation"
"RL","Land Use","214","China, Taiwan Province of","5110","Area","6610","Agricultural land","2018","2018","1000 ha","790.7","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","44","Colombia","5110","Area","6600","Country area","2018","2018","1000 ha","114175","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","44","Colombia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","49492","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","45","Comoros","5110","Area","6600","Country area","2018","2018","1000 ha","186.1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","45","Comoros","5110","Area","6610","Agricultural land","2018","2018","1000 ha","131","Fm","Manual Estimation"
"RL","Land Use","46","Congo","5110","Area","6600","Country area","2018","2018","1000 ha","34200","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","46","Congo","5110","Area","6610","Agricultural land","2018","2018","1000 ha","10628","Fm","Manual Estimation"
"RL","Land Use","47","Cook Islands","5110","Area","6600","Country area","2018","2018","1000 ha","24","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","47","Cook Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1.5","Fm","Manual Estimation"
"RL","Land Use","48","Costa Rica","5110","Area","6600","Country area","2018","2018","1000 ha","5110","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","48","Costa Rica","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1782.5","Fm","Manual Estimation"
"RL","Land Use","107","Côte d'Ivoire","5110","Area","6600","Country area","2018","2018","1000 ha","32246","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","107","Côte d'Ivoire","5110","Area","6610","Agricultural land","2018","2018","1000 ha","21200","Fm","Manual Estimation"
