Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","2","Afghanistan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","37919","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1174.081","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","4","Algeria","5110","Area","6610","Agricultural land","2018","2018","1000 ha","41358.847","Fm","Manual Estimation"
"RL","Land Use","5","American Samoa","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4.9","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2018","2018","1000 ha","18.83","Fm","Manual Estimation"
"RL","Land Use","7","Angola","5110","Area","6610","Agricultural land","2018","2018","1000 ha","56952.49","Fc","Calculated data"
"RL","Land Use","8","Antigua and Barbuda","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2018","2018","1000 ha","148768","Fm","Manual Estimation"
"RL","Land Use","1","Armenia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1677.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","22","Aruba","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2","Fm","Manual Estimation"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","358895","Fc","Calculated data"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2652.83","Fc","Calculated data"
"RL","Land Use","52","Azerbaijan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4779.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","12","Bahamas","5110","Area","6610","Agricultural land","2018","2018","1000 ha","14","Fm","Manual Estimation"
"RL","Land Use","13","Bahrain","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8.6","Fm","Manual Estimation"
"RL","Land Use","16","Bangladesh","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9202.3","Fm","Manual Estimation"
"RL","Land Use","14","Barbados","5110","Area","6610","Agricultural land","2018","2018","1000 ha","10","Fm","Manual Estimation"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8453","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","255","Belgium","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1354","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","23","Belize","5110","Area","6610","Agricultural land","2018","2018","1000 ha","172","Fm","Manual Estimation"
"RL","Land Use","53","Benin","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3950","Fm","Manual Estimation"
"RL","Land Use","17","Bermuda","5110","Area","6610","Agricultural land","2018","2018","1000 ha","0.3","Fm","Manual Estimation"
"RL","Land Use","18","Bhutan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","513","Fm","Manual Estimation"
"RL","Land Use","19","Bolivia (Plurinational State of)","5110","Area","6610","Agricultural land","2018","2018","1000 ha","37727","Fm","Manual Estimation"
