Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","1998","1998","%","58","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","1999","1999","%","57.83","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2000","2000","%","57.83","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2001","2001","%","57.83","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2002","2002","%","57.83","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2003","2003","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2004","2004","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2005","2005","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2006","2006","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2007","2007","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2008","2008","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2009","2009","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2010","2010","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2011","2011","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2012","2012","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2013","2013","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2014","2014","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2015","2015","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2016","2016","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2017","2017","%","58.07","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7209","Share in Land area","6610","Agricultural land","2018","2018","%","58.08","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7209","Share in Land area","6610","Agricultural land","1998","1998","%","41.57","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7209","Share in Land area","6610","Agricultural land","1999","1999","%","41.79","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7209","Share in Land area","6610","Agricultural land","2000","2000","%","41.75","Fc","Calculated data"
